dataid,prediction
174,1999.80578396
175,2000.94363111
176,2003.09117664
177,2003.64033436
178,2002.08293992
179,2004.90634366
180,2001.76825192
181,2004.69051205
182,2004.23044016
183,2004.73831558
184,2002.58347495
185,2002.15836791
186,2001.23849331
187,1999.42737068
188,1999.996521
189,2001.27448927
190,2002.78452933
191,2000.73957907
192,1995.44001217
193,1998.95927167
194,1997.65866762
195,1997.1068335
196,1996.43044826
197,1997.69065662
198,1993.81288263
199,1997.9058629
200,1998.27927411
201,2009.87005543
202,2000.80606063
203,2002.12744292
204,2002.37859942
205,2000.82634836
206,2002.46862472
207,2000.85137999
208,2000.93451424
209,2002.50393605
210,2004.19345375
211,2002.24108878
212,2007.8187584
213,2004.15959821
214,2001.93600594
215,2003.46452801
216,2004.16186061
217,2003.31899537
218,2001.18149644
219,2004.12864003
220,2005.91900949
221,2003.742874
222,2001.62221008
223,2006.35028855
224,2003.0352385
225,2003.74619525
226,2003.98229523
227,2002.82625484
228,2002.75675215
229,2004.95447964
230,2002.9669989
231,2004.10118768
232,2001.08864458
233,2001.12528102
234,2000.5884425
235,1999.27485438
236,2000.82110704
237,2001.21065214
238,1999.56647612
239,1999.39253072
240,2000.71069045
241,2000.12977852
242,2000.442511
243,2003.84335733
244,2004.10176355
245,2003.95956619
246,2002.52682403
247,2004.65038088
248,2003.65787586
249,2003.07427691
250,2009.31117037
251,2003.47908385
252,2004.9806518
253,2000.90639832
254,2001.8498963
255,1998.17032448
256,2002.20564926
257,2006.39898768
258,2002.52838064
259,1998.61149248
260,1998.18825078
261,1992.62106174
262,1997.05705293
263,1994.51573984
264,1999.25754364
265,2000.32770238
266,2001.42208953
267,1992.74296276
268,1995.39627615
269,1995.9619891
270,1992.60578673
271,2005.52540456
272,2003.59473709
273,2003.03036995
274,2006.41694254
275,2003.84622884
276,2005.67378046
277,1997.53695281
278,2003.77223187
279,2000.9790016
280,2003.72373585
281,2003.6569548
282,2003.03175145
283,1996.96424704
284,1992.39932271
285,1994.30669105
286,1992.07361584
287,1996.68354102
288,1993.55786492
289,2001.2986244
290,1995.67877024
291,1998.53700336
292,2002.69949573
293,2004.02546609
294,2003.64233181
295,1999.21232558
296,2002.74927595
297,2001.67341602
298,2006.14203718
299,2001.98240309
300,2001.58505199
301,2001.34013561
302,2003.22676719
303,2004.50791588
304,2000.38060852
305,2006.18128336
306,2008.81009613
307,2006.30367408
308,2006.28313469
309,2004.28273294
310,2003.46552381
311,2002.24427259
312,2002.64300029
313,2003.54303065
314,2003.24175381
315,2004.10009798
316,2004.77184034
317,1996.32385414
318,1995.48474915
319,1993.90626378
320,1992.67746504
321,1996.79579697
322,1991.88594799
323,1997.61014771
324,1998.82162284
325,1993.79659579
326,1996.79246651
327,1995.2159028
328,1992.96630115
329,1992.22660619
330,1995.96782371
331,1989.78164014
332,1989.56155262
333,1995.69953598
334,1999.17586287
335,2006.34685383
336,1999.52124807
337,2002.94588768
338,2003.74090558
339,2002.11805254
340,2003.58191235
341,2002.71549218
342,2003.74607506
343,2001.11595084
344,2002.40156226
345,2004.86914862
346,2000.17783415
347,2002.07786301
348,2001.39658614
349,1998.71494369
350,2000.10258897
351,2001.68910205
352,2001.71509468
353,2000.04793981
354,2002.38887692
355,1993.53576107
356,1991.26959519
357,1992.84215091
358,1993.13286149
359,1991.70979148
360,1994.19188361
361,1994.23602135
362,1998.62273902
363,1999.61558406
364,1999.74440387
365,1999.60010152
366,2001.69960664
367,2000.74588835
368,1999.72336085
369,2001.47005176
370,2002.02584708
371,2001.36201292
372,2001.6761715
373,2000.1261138
374,1997.40362882
375,1996.8207939
376,1997.59020851
377,1993.08204977
378,1995.52367495
379,1994.2782041
380,1997.41012765
381,1999.13803238
382,1998.20298535
383,2006.239321
384,2005.25589341
385,2004.43014866
386,2000.16469385
387,2002.83342527
388,2000.23868228
389,2003.4245747
390,2002.06256655
391,2002.69324836
392,1999.29545944
393,2000.92346438
394,1999.60285727
395,1994.59308372
396,1994.67297833
397,1998.35181283
398,1996.42768835
399,1999.76104106
400,1996.42746975
401,1998.08266486
402,1996.42424425
403,1996.78975481
404,1996.95419132
405,1997.93113665
406,1999.04314435
407,1999.25509717
408,2000.14595851
409,1998.63638607
410,1998.9934107
411,1998.88437589
412,2000.6205753
413,1999.95836894
414,2000.29583475
415,1999.39150939
416,2002.18727015
417,1998.95961974
418,2003.66929291
419,2004.1049166
420,2003.36190851
421,2003.67176204
422,2002.58902715
423,1999.09456938
424,2001.4633254
425,1999.55537133
426,2003.77980903
427,2004.6288086
428,2001.38992345
429,2001.90630446
430,2009.66215741
431,2006.18105257
432,2005.4574137
433,2005.91302232
434,2007.04817286
435,2007.09551375
436,2004.57404534
437,2005.31735184
438,2008.56736033
439,2007.99381217
440,2003.84077895
441,2004.31166523
442,2005.67465356
443,2004.22031112
444,2004.15547836
445,2004.51826832
446,2000.31726198
447,2004.31926313
448,2005.18358979
449,2003.71052876
450,1996.19016318
451,1994.01301348
452,1997.36017678
453,1995.2765242
454,1994.97034732
455,1997.28440191
456,1988.87634571
457,1989.56176605
458,1982.97198759
459,1987.02364772
460,1993.0283351
461,1997.25438227
462,2003.38320489
463,1999.16598161
464,1992.44884522
465,1995.77529199
466,1993.1306807
467,1996.83517215
468,1990.93169112
469,1992.46010019
470,1988.88688958
471,1985.21667863
472,1985.42878549
473,1988.83269983
474,1986.30400631
475,1990.34653384
476,1989.08442347
477,1994.2214281
478,1992.904244
479,1991.00918934
480,1990.14843042
481,1989.34416105
482,1991.19277577
483,1991.0222033
484,1989.51385533
485,1996.70459574
486,1984.90024472
487,1990.15699104
488,1984.85512503
489,1988.27295651
490,1987.02077459
491,1988.24599052
492,1987.37199163
493,1987.67458187
494,1987.8480264
495,1997.38349744
496,1989.43064954
497,1983.49729383
498,1986.01099184
499,1986.64468113
500,1987.47634284
501,1992.61122015
502,1988.10551207
503,1985.47517217
504,1997.19376431
505,1997.12064782
506,1996.16060142
507,1994.72012699
508,1996.41211514
509,1993.23730214
510,1994.72566333
511,1996.06032416
512,1994.25532706
513,1994.69316866
514,1993.58776579
515,1991.48653268
516,1991.33743385
517,1990.79431747
518,1985.97589235
519,1996.57431603
520,1990.1511265
521,1990.04242956
522,1996.50961962
523,1990.87628886
524,1991.7482108
525,1994.35520773
526,1991.10900444
527,1999.67089701
528,2001.00707682
529,1998.46079769
530,1996.27016894
531,1999.22433505
532,2000.31482015
533,1997.4645578
534,2000.41021829
535,1999.45556552
536,1993.43158911
537,2002.05156516
538,1995.53851498
539,1991.9993108
540,2005.75840594
541,2006.56219245
542,2002.51067882
543,2005.4641272
544,2008.81143962
545,2007.21971092
546,2003.87543616
547,2003.5287333
548,1999.71216369
549,2005.07210678
550,2006.39493535
551,2004.64162285
552,2007.53087435
553,2004.44186366
554,2004.54624761
555,2002.2936478
556,2002.78557397
557,2005.14985866
558,2004.69677926
559,2002.00756378
560,2007.00891696
561,2005.54983741
562,2009.74295901
563,2006.15214855
564,2005.07252878
565,2004.5228486
566,1998.1678748
567,1972.07275072
568,1994.82751562
569,1989.14695399
570,1996.40992157
571,1999.66125008
572,2002.76175655
573,1995.08262136
574,1998.69296984
575,2002.2046407
576,2001.67139655
577,2005.11757773
578,1994.07426018
579,2005.43080443
580,2007.07475996
581,2003.09939718
582,2002.85001827
583,2004.15283816
584,2002.85769738
585,2000.62843699
586,2008.32183283
587,2003.25068918
588,2002.48383006
589,2001.15678924
590,1996.02479063
591,2000.6439149
592,1996.72228391
593,1998.95180638
594,2006.88796189
595,2010.66658627
596,1997.31471513
597,1996.9167786
598,1998.05057342
599,1992.33534286
600,1992.11507587
601,1994.0189896
602,1996.39142371
603,1996.26841833
604,1992.94829703
605,1993.88638958
606,1993.80285773
607,1989.79794049
608,1997.3358892
609,1996.77664547
610,1988.83089347
611,1995.94419449
612,1996.13400671
613,1998.38943238
614,1997.13452777
615,1997.51188479
616,1988.71331035
617,1991.28487909
618,1996.85625848
619,1993.68450584
620,1991.35548341
621,1990.93545179
622,1997.42294942
623,1993.39702839
624,1988.51722276
625,1990.95721325
626,1993.43974598
627,1991.99408311
628,1985.90117687
629,1988.47596552
630,1983.44129319
631,1985.89749968
632,1984.28224583
633,1992.62361443
634,1986.17981506
635,1986.68561222
636,1987.37485695
637,1985.59900741
638,1995.61844687
639,1993.22292277
640,1993.60370018
641,1990.76276918
642,1989.09938973
643,1988.68424835
644,1993.24552389
645,1987.8733485
646,1991.59822636
647,1989.22504287
648,1991.90217975
649,1995.64480553
650,1989.87521982
651,1983.74306449
652,1985.53633312
653,1986.10508654
654,1987.87436431
655,1988.73739676
656,1989.35371778
657,1989.14363266
658,1994.80989618
659,1992.72733338
660,1985.85526799
661,1987.28371041
662,1991.95702058
663,1987.93775046
664,1990.49163641
665,1985.84334913
666,1986.09315458
667,1989.85494694
668,2006.53715745
669,2004.10309356
670,1999.14782516
671,2006.47210085
672,2010.44310228
673,2008.333215
674,2003.16221512
675,2008.42225554
676,2007.69256626
677,2007.58546245
678,2007.38450018
679,1995.74758345
680,1996.07684921
681,2004.41200892
682,2006.20694214
683,2004.44105546
684,2002.50337022
685,2004.43591629
686,2002.3582953
687,2007.85260386
688,2003.93426647
689,2003.32069834
690,1999.85707368
691,2006.24512747
692,1991.20181034
693,1991.64843692
694,1993.93000296
695,1994.55335334
696,1987.59309601
697,1989.74449798
698,1991.91821521
699,1987.14506868
700,1982.53139949
701,1990.08965162
702,1993.64931719
703,1988.07747252
704,1995.95178704
705,1995.17085921
706,1993.02575043
707,1996.69122347
708,1996.47389557
709,1989.25536246
710,1995.46334327
711,1994.59754241
712,1992.83565265
713,2002.40684354
714,1991.88948565
715,1996.5038627
716,1990.85086622
717,1996.12310676
718,1991.99214966
719,1993.82404884
720,1998.42868951
721,1992.3880803
722,1986.32032276
723,1994.15044787
724,1993.41087666
725,1995.37297285
726,1994.31710702
727,1994.39948787
728,1995.59818016
729,1994.8203071
730,1992.91819298
731,1998.85175907
732,1998.95285266
733,1995.75884273
734,1993.62392353
735,1993.35402485
736,1991.98772513
737,1995.39955519
738,1997.70416186
739,2002.86127084
740,2001.22904756
741,1999.45302417
742,1997.65342145
743,2004.71960371
744,2000.68585643
745,2004.62517827
746,2005.06984124
747,2001.83250666
748,1996.68765195
749,1991.4083275
750,1991.83597235
751,1990.47432907
752,1995.47040267
753,1993.80697463
754,1992.77982381
755,1993.92146532
756,1990.14860632
757,1992.05465858
758,1990.76151494
759,2004.10917203
760,2006.71792282
761,2002.15297035
762,2002.50451563
763,1997.05551407
764,2002.38544874
765,1999.51099962
766,1991.34292223
767,1997.73823042
768,1995.64714296
769,1999.44443811
770,1992.34878339
771,1993.79458118
772,1991.09428209
773,1987.23010585
774,1990.07183819
775,1986.86050293
776,1987.04868967
777,1985.17685713
778,1999.2752498
779,2000.14491938
780,1999.13137703
781,1999.3306145
782,1999.94470082
783,1998.82216517
784,2001.15315988
785,1999.59618093
786,2002.50064037
787,2000.62640866
788,1997.19857635
789,2000.9513966
790,2001.1890454
791,1998.95903212
792,1998.94898461
793,1999.84451463
794,2003.10588587
795,2003.48083542
796,1998.61396528
797,1991.27131461
798,1992.19750558
799,1995.47949598
800,1993.03544393
801,1990.87677744
802,1994.47685048
803,1993.75448945
804,1994.33525266
805,1992.70976554
806,2002.98143887
807,1997.8087816
808,2001.75697701
809,2004.91523796
810,2001.02096862
811,1997.61773426
812,2001.78518577
813,2002.49545215
814,2006.71673341
815,2000.99171957
816,1998.63470797
817,1999.79606134
818,1999.57944633
819,1998.99877036
820,2008.09688533
821,1998.27731141
822,2008.98283301
823,2010.14362176
824,2006.98238244
825,2011.46530841
826,1996.8534291
827,2005.10248975
828,2005.10248975
829,2007.28685579
830,1999.37459274
831,2001.43735301
832,2001.76175596
833,2007.058873
834,2000.83362608
835,1999.63731792
836,2003.7369394
837,2003.97777776
838,2000.84584231
839,2004.92024513
840,1999.66518424
841,2000.99173227
842,1999.64548416
843,2003.32998666
844,2004.81195629
845,2003.80194823
846,1996.15478493
847,2002.00805051
848,2002.71100468
849,2004.18358526
850,1999.5888697
851,1998.96781393
852,2005.94544724
853,2000.05828666
854,1997.87188192
855,2002.01875147
856,2002.82863206
857,2002.65634629
858,1999.85554316
859,2007.4336629
860,1999.85554316
861,2006.16151892
862,2003.22009459
863,2000.1751701
864,2003.63208086
865,2004.31326811
866,2005.92549308
867,2002.65634629
868,2000.34908272
869,2003.54503776
870,2006.83140728
871,2004.4611509
872,2002.50368324
873,1996.78796711
874,2000.31242395
875,2002.12984357
876,2000.02349774
877,2006.60985833
878,2008.70752941
879,2009.24385954
880,2006.76109852
881,2004.11155804
882,2006.52491387
883,1994.70067668
884,2002.04206028
885,1999.84542199
886,2006.24767493
887,1999.14771554
888,2003.19307053
889,2001.20156016
890,2006.63398884
891,2005.98331564
892,2001.20156016
893,2003.23741991
894,2003.75694867
895,2000.64925677
896,1992.62479029
897,1998.25356151
898,2002.81753263
899,2001.25087178
900,2004.77454078
901,2004.8454023
902,2004.51306792
903,2003.19439746
904,2002.62630111
905,2001.18272644
906,2003.16614095
907,2000.93002774
908,2002.04052744
909,2004.90338051
910,2004.89299858
911,2001.0266087
912,2005.62133398
913,2003.15309259
914,2005.58304136
915,2005.54963773
916,2002.93100696
917,2005.49136473
918,2001.74475269
919,2001.53236005
920,2006.99030132
921,2003.51964119
922,2003.11521112
923,1995.88002397
924,1983.36470788
925,1987.62826504
926,1989.10230888
927,2007.40141882
928,2004.27969424
929,2004.14627497
930,2005.3575746
931,2002.74588771
932,2001.55406173
933,1999.69754592
934,2001.36893649
935,2001.77821284
936,2000.39159256
937,2005.55092067
938,1986.53071628
939,1989.45529945
940,1988.27768997
941,1984.93549382
942,1987.70136548
943,1983.60270447
944,1987.4200512
945,1989.53223355
946,1987.35662973
947,1986.58482887
948,1986.4896207
949,1989.8824504
950,1993.70339084
951,1992.56117323
952,1990.04336522
953,1994.32315516
954,1993.2926697
955,1986.08307641
956,1988.0827488
957,1991.64986885
958,1985.92604568
959,1996.94662631
960,2007.64152195
961,2004.04634077
962,1998.03045622
963,2010.48426494
964,2002.54900388
965,2004.68990728
966,2002.4800163
967,2004.72877481
968,2004.64083861
969,2000.30947302
970,2006.81814863
971,2001.19787428
972,2002.04243959
973,2005.13145073
974,2006.83050939
975,2001.4997232
976,2000.90141108
977,2003.11279199
978,2000.83835868
979,2001.74510892
980,2001.86827802
981,2001.32141886
982,2004.64509589
983,2002.11986651
984,2001.46894438
985,2001.56810973
986,2001.43170311
987,1998.52020554
988,2001.46482095
989,1999.13077829
990,1999.20813044
991,2000.68868547
992,2003.46806681
993,2000.30317877
994,1994.75280097
995,2000.02725019
996,2000.08144066
997,2001.26232076
998,2000.81318467
999,2000.47128708
1000,2000.11353934
1001,2003.1714915
1002,2001.35862054
1003,2000.72096993
1004,2002.24493189
1005,2000.94264238
1006,2002.21065621
1007,2001.63168346
1008,1993.15991374
1009,1992.56256741
1010,1997.44866436
1011,1994.30596494
1012,2001.8230897
1013,2001.11200184
1014,1991.02405681
1015,1993.78151031
1016,1988.53244544
1017,1994.08440402
1018,1996.67534515
1019,1996.78527801
1020,2007.2161824
1021,2005.79015875
1022,2002.59498762
1023,2006.83861002
1024,2006.11987248
1025,2010.91715425
1026,2013.41086564
1027,2006.91830241
1028,1993.75943878
1029,1990.94428743
1030,1993.92274087
1031,1991.19790074
1032,1992.57870525
1033,1991.82504234
1034,1991.09446177
1035,1997.37288156
1036,1993.41465782
1037,1996.85609309
1038,1994.14423169
1039,1991.70274384
1040,1993.6072591
1041,2002.28059904
1042,2002.07968123
1043,2000.12036423
1044,2000.48578587
1045,2003.37893012
1046,1998.08931115
1047,2006.74610347
1048,2004.12890818
1049,2004.1704301
1050,2002.24934023
1051,2002.24280525
1052,1997.92205345
1053,2004.27562591
1054,2001.70043597
1055,2002.87195434
1056,2002.84922495
1057,2001.5482557
1058,1995.04318027
1059,1993.1035414
1060,1996.80390789
1061,1996.5002024
1062,1991.88067185
1063,1994.7779431
1064,1994.22625828
1065,1992.51911015
1066,1997.01574106
1067,1997.09362077
1068,1995.35111929
1069,1995.34922387
1070,1995.72632039
1071,1997.51755178
1072,1996.59203255
1073,1994.01932436
1074,1997.58038967
1075,1995.8376891
1076,1992.09629722
1077,1991.36793594
1078,1994.67075706
1079,1992.1715762
1080,2001.18292779
1081,1992.78013822
1082,1998.62963704
1083,1994.65113866
1084,1995.24916637
1085,1993.66110128
1086,1989.47238943
1087,1989.21003067
1088,1989.78532788
1089,1988.91813665
1090,1990.39986641
1091,1988.31022097
1092,1989.62744596
1093,1986.70726496
1094,1993.27125432
1095,1996.17577104
1096,1994.00969117
1097,1991.21061005
1098,1987.28027129
1099,1996.48061909
1100,1994.59074365
1101,1989.10025587
1102,1996.31913011
1103,1992.27899583
1104,1993.61799907
1105,1994.70838446
1106,1995.92679966
1107,1991.43458245
1108,1995.8540413
1109,2000.23193275
1110,1992.85840169
1111,2002.70908659
1112,2002.41097401
1113,2001.40045205
1114,2007.18452088
1115,1999.3696384
1116,1994.15427398
1117,1992.24167778
1118,1996.38690257
1119,1991.29823571
1120,1996.45961529
1121,1995.48198729
1122,1993.81542272
1123,1994.9926778
1124,1996.19122843
1125,1992.21476788
1126,1993.0679827
1127,1996.84515634
1128,1992.99494105
1129,1995.55282007
1130,1992.21476788
1131,1996.0700465
1132,1999.29529077
1133,1991.37947692
1134,1992.73222437
1135,1990.49355573
1136,1991.11061053
1137,1991.88496919
1138,1992.46802376
1139,1994.6636703
1140,1990.71616307
1141,1990.23545576
1142,1992.50510927
1143,1999.99805688
1144,2003.07734507
1145,1999.46949822
1146,1996.48408411
1147,1995.93988429
1148,1995.18466214
1149,1996.24401679
1150,1996.72641188
1151,1992.53696678
1152,1995.34669091
1153,1993.25971348
1154,1995.55000997
1155,1991.40020147
1156,1992.67977363
1157,1996.4990913
1158,1998.31138413
1159,1994.76380074
1160,2000.25647724
1161,1993.72776931
1162,1999.83903418
1163,2000.56856448
1164,1999.08645148
1165,2007.74917952
1166,1998.19872182
1167,1999.40014085
1168,1995.48286729
1169,1996.36889487
1170,1998.06536057
1171,1993.64116393
1172,1999.67008957
1173,1998.34212243
1174,1992.12127424
1175,1986.40091019
1176,1989.88235972
1177,1980.31099223
1178,1989.18611877
1179,1989.62236451
1180,1987.78879115
1181,1993.02236006
1182,1990.4813026
1183,1996.73726196
1184,1993.92445707
1185,1993.79216897
1186,1988.83029245
1187,1988.62216867
1188,1983.04090894
1189,1986.27116023
1190,1987.13130117
1191,1982.37127082
1192,1987.57416798
1193,1983.74358243
1194,2003.17596014
1195,1992.23889229
1196,1992.7277412
1197,1999.4246764
1198,1995.97747597
1199,1994.92358653
1200,2002.15128819
1201,1995.1553964
1202,1998.92373489
1203,1999.38108781
1204,2001.71042158
1205,1991.60434889
1206,1985.42763867
1207,1986.78943011
1208,1991.40429303
1209,1999.36092052
1210,1998.9206767
1211,1993.25814572
1212,1990.16411627
1213,1982.57329954
1214,1988.95487027
1215,1989.59387824
1216,1997.89662713
1217,1992.17048903
1218,1991.2891658
1219,1988.9634652
1220,1990.70824004
1221,1991.30448942
1222,1994.45954345
1223,1998.64099163
1224,2000.57403464
1225,1979.01423057
1226,1996.71999438
1227,1991.58092098
1228,2001.42183033
1229,2000.27381842
1230,1999.19435441
1231,2003.50508599
1232,2001.83693629
1233,2006.14657266
1234,1995.36786491
1235,1999.77932819
1236,1999.65343665
1237,1998.08371638
1238,1999.19468608
1239,1998.25181677
1240,2005.34121674
1241,1999.66668453
1242,2003.01532809
1243,2003.04382423
1244,2003.63938162
1245,2006.02998248
1246,2000.6504753
1247,2004.46383415
1248,2006.32220045
1249,2002.44793821
1250,2004.83324599
1251,2001.94749031
1252,1993.39194942
1253,1997.52320315
1254,2003.12872042
1255,1995.87631599
1256,1997.24786927
1257,1996.76317559
1258,1999.89471171
1259,1998.73393356
1260,1998.22956962
1261,1995.09533119
1262,1998.08040853
1263,1999.14841866
1264,2003.92594543
1265,1999.66065672
1266,1990.89707416
1267,1995.02291893
1268,1995.57915491
1269,2000.59407995
1270,1993.90959293
1271,1998.99932543
1272,2000.9270685
1273,2002.9155499
1274,1995.31300787
1275,1995.13267005
1276,1995.767854
1277,2000.80147487
1278,1994.40023856
1279,2000.21745871
1280,2000.34200594
1281,1994.35713531
1282,1984.19186792
1283,2005.53579138
1284,2004.51712695
1285,2004.5664993
1286,2007.17955752
1287,2004.79946954
1288,2003.15589273
1289,2003.468108
1290,2003.98644828
1291,2001.89359375
1292,2001.82387442
1293,2005.44130792
1294,2005.87530557
1295,2000.3848893
1296,2002.59622959
1297,2002.08969749
1298,2000.95481826
1299,1999.73232099
1300,2002.52523094
1301,2004.46073366
1302,2008.29143305
1303,2006.84979333
1304,2012.43054062
1305,2009.40206713
1306,2004.05018828
1307,2001.55019993
1308,2009.8552665
1309,1996.50390846
1310,2004.32246439
1311,2002.6562168
1312,1999.69793255
1313,2002.65133319
1314,1996.3233142
1315,1997.95506796
1316,1997.53417138
1317,2002.36985619
1318,1996.34537528
1319,1996.85091933
1320,1986.25822475
1321,1994.86911939
1322,2007.72835793
1323,2004.92204469
1324,2003.22445186
1325,2005.56876954
1326,2007.781213
1327,2001.64823402
1328,2008.11874935
1329,2006.47994543
1330,2005.46796362
1331,2008.49251918
1332,2002.14003113
1333,2003.36828391
1334,2004.34509773
1335,2004.43525742
1336,2006.44526011
1337,2003.16765173
1338,2006.43801699
1339,2003.7605811
1340,2003.38700582
1341,2003.71488004
1342,2002.22846508
1343,2003.5923248
1344,2004.58093493
1345,2004.13653955
1346,2001.98253663
1347,2001.61877541
1348,2002.42269858
1349,2003.33530286
1350,2002.7455473
1351,1998.8628312
1352,1999.8829314
1353,2004.24005057
1354,2001.29340645
1355,2000.39266821
1356,2001.84173027
1357,1999.2786077
1358,1996.21333814
1359,1995.46600762
1360,1995.96453255
1361,1993.2781706
1362,1991.30832615
1363,1993.83495558
1364,1998.13335294
1365,1996.13778889
1366,1992.01448641
1367,1992.2159141
1368,2006.23647492
1369,2005.14706551
1370,2002.96337581
1371,2003.40761796
1372,2003.8784342
1373,2004.2116866
1374,2003.49200313
1375,2002.4962279
1376,2004.82330533
1377,2004.9692698
1378,1995.63212911
1379,1992.30109193
1380,1992.08221369
1381,1995.07987887
1382,1989.68209011
1383,2003.17444483
1384,2001.12117317
1385,1999.59350417
1386,2003.18164107
1387,1998.404709
1388,2001.63473926
1389,2001.34482833
1390,1998.15255229
1391,2005.58086717
1392,2002.13124499
1393,2000.42269899
1394,1999.79843865
1395,1999.25273384
1396,2002.05682199
1397,2001.61517808
1398,1997.65449451
1399,2006.45207937
1400,2005.93413611
1401,1999.45082792
1402,1994.5971464
1403,1998.90239104
1404,2001.69967235
1405,2000.48134213
1406,2002.04275425
1407,1996.78736858
1408,1996.34944575
1409,2002.16392371
1410,1997.40092705
1411,1994.86318788
1412,1999.42263948
1413,2001.52769577
1414,1992.48599914
1415,1999.0250362
1416,2004.57036082
1417,2002.3446012
1418,1998.83234522
1419,1998.09922912
1420,1993.13847051
1421,2000.01685743
1422,1994.01749825
1423,1994.00768405
1424,1995.60701727
1425,1987.11253145
1426,1998.89276917
1427,1996.79119461
1428,2002.06608762
1429,2005.17362412
1430,2001.43226704
1431,2003.59116206
1432,2002.81788676
1433,1999.27810086
1434,2000.16882244
1435,1997.46562408
1436,1997.16139503
1437,1996.49658709
1438,1993.10390181
1439,1996.9555842
1440,1995.49781171
1441,1992.0966151
1442,1997.42111897
1443,1991.20635075
1444,1998.57761667
1445,1993.77660594
1446,2002.09604866
1447,1990.05849307
1448,1989.1186595
1449,1994.13889169
1450,2001.98611131
1451,2001.93491915
1452,2001.15739445
1453,1995.16865523
1454,2004.32541325
1455,2006.74632546
1456,2000.29912674
1457,2002.04395733
1458,2009.51612661
1459,2000.52105555
1460,2002.05432265
1461,1996.40444463
1462,2008.02904044
1463,2008.5156134
1464,2009.61237244
1465,2003.10145749
1466,2005.47444233
1467,2007.41933028
1468,2010.19616442
1469,2006.71299165
1470,2010.76087954
1471,2008.95336537
1472,2002.17264863
1473,2006.43637208
1474,2006.20353143
1475,2004.23385073
1476,2003.27341035
1477,2008.31402498
1478,2003.82880086
1479,2003.01893367
1480,2006.10997927
1481,2001.48990533
1482,1999.96009189
1483,1998.23655814
1484,2002.59300724
1485,1995.36410965
1486,2002.13417722
1487,1997.14335
1488,1999.04295488
1489,2005.89679333
1490,1999.83123772
1491,2000.34261942
1492,2001.11116742
1493,1995.84882063
1494,2003.18248022
1495,1997.09110555
1496,2002.74973251
1497,2004.3060094
1498,2004.56643931
1499,2004.31680952
